id,file_path,line_number
1,01_database_insert.abap,34
2,01_database_insert.abap,60
3,01_database_insert.abap,118
4,02_database_update.abap,33
5,02_database_update.abap,51
6,02_database_update.abap,67
7,02_database_update.abap,134
8,02_database_update.abap,154
9,02_database_update.abap,206
10,03_database_modify.abap,23
11,03_database_modify.abap,35
12,03_database_modify.abap,61
13,03_database_modify.abap,122
14,03_database_modify.abap,247
15,04_database_delete.abap,64
16,04_database_delete.abap,217
17,06_move_operations.abap,81
18,09_data_declarations.abap,210
19,10_if_else.abap,162
20,11_case_when.abap,105
21,11_case_when.abap,109
22,13_try_catch.abap,118
23,34_multiline_colon.abap,162
24,34_multiline_colon.abap,233
25,business_scenario.abap,7
26,business_scenario.abap,14
27,comment_find.abap,3
28,complex_structure.abap,4
29,complex_structure.abap,10
30,long_code_find.abap,44
31,multiline_complex.abap,3
32,simple_find.abap,3
33,simple_find.abap,6
34,substring_negative.abap,3
35,test_basic.abap,3
36,test_colon_comma.abap,3
37,test_colon_comma.abap,7
38,test_complex_flow.abap,4
39,test_complex_flow.abap,5
40,test_complex_flow.abap,11
41,test_complex_flow.abap,18
42,test_complex_flow.abap,24
43,test_complex_flow.abap,25
44,test_complex_flow.abap,26
45,test_complex_flow.abap,29
46,test_complex_flow.abap,66
47,test_complex_flow.abap,72
48,test_complex_flow.abap,79
49,test_complex_flow.abap,80
50,test_complex_flow.abap,96
51,test_complex_flow.abap,97
52,test_complex_flow.abap,132
53,test_complex_flow.abap,146
54,test_comprehensive_scenario.abap,3
55,test_comprehensive_scenario.abap,4
56,test_comprehensive_scenario.abap,5
57,test_comprehensive_scenario.abap,8
58,test_comprehensive_scenario.abap,18
59,test_comprehensive_scenario.abap,44
60,test_default.abap,3
61,test_default.abap,8
62,test_extended_scenarios.abap,3
63,test_extended_scenarios.abap,4
64,test_extended_scenarios.abap,5
65,test_extended_scenarios.abap,10
66,test_extended_scenarios.abap,17
67,test_extended_scenarios.abap,22
68,test_extended_scenarios.abap,26
69,test_insert_values.abap,3
70,test_insert_values.abap,4
71,test_insert_values.abap,11
72,test_insert_values.abap,14
73,test_insert_values.abap,21
74,test_insert_values.abap,27
75,test_insert_values.abap,30
76,test_insert_values.abap,32
77,test_insert_values.abap,35
78,test_insert_values.abap,42
79,test_insert_values.abap,51
80,test_mixed.abap,3
81,test_mixed.abap,7
82,test_multiline.abap,3
83,test_multiline.abap,8
84,test_multiline_scenario.abap,3
85,test_multiline_scenario.abap,6
86,test_multiline_update.abap,3
87,test_multiline_update.abap,10
88,test_multiline_update.abap,33
89,test_multiline_update.abap,40
90,test_multiple_rfc.abap,3
91,test_multiple_rfc.abap,4
92,test_multiple_rfc.abap,5
93,test_multiple_rfc.abap,13
94,test_multiple_rfc.abap,21
95,test_multiple_rfc.abap,36
96,test_multiple_rfc.abap,48
97,test_multiple_rfc.abap,62
98,test_multiple_rfc.abap,68
99,test_multiple_rfc.abap,69
100,test_multiple_rfc.abap,84
101,test_multiple_rfc.abap,85
102,test_multiple_rfc.abap,86
103,test_multiple_rfc.abap,95
104,test_multiple_rfc.abap,97
105,test_multiple_rfc.abap,100
106,test_multiple_rfc.abap,112
107,test_perform_using.abap,3
108,test_perform_using.abap,4
109,test_perform_using.abap,5
110,test_perform_using.abap,11
111,test_perform_using.abap,15
112,test_perform_using.abap,16
113,test_perform_using.abap,23
114,test_perform_using.abap,24
115,test_perform_using.abap,28
116,test_perform_using.abap,31
117,test_perform_using.abap,32
118,test_perform_using.abap,38
119,test_perform_using.abap,42
120,test_perform_using.abap,48
121,test_perform_using.abap,49
122,test_perform_using.abap,61
123,test_perform_using.abap,70
124,test_perform_using.abap,77
125,test_perform_using.abap,83
126,test_perform_using.abap,89
127,test_perform_using.abap,95
128,user_example.abap,3
129,ztest.abap,4
130,ztest.abap,9
131,test_cp949,3
